"","country_code","year_week","time","age_group","new_cases"
"1","BE","2021-20","2021-05-17","<15yr",1532
"2","BE","2021-21","2021-05-24","<15yr",1124
"3","BE","2021-22","2021-05-31","<15yr",837
"4","BE","2021-23","2021-06-07","<15yr",481
"5","BE","2021-24","2021-06-14","<15yr",189
"6","BE","2021-25","2021-06-21","<15yr",146
"7","BE","2021-26","2021-06-28","<15yr",281
"8","BE","2021-27","2021-07-05","<15yr",423
"9","BE","2021-28","2021-07-12","<15yr",598
"10","BE","2021-29","2021-07-19","<15yr",788
"11","BE","2021-30","2021-07-26","<15yr",1001
"12","BE","2021-20","2021-05-17","15-24yr",3067
"13","BE","2021-21","2021-05-24","15-24yr",2234
"14","BE","2021-22","2021-05-31","15-24yr",1555
"15","BE","2021-23","2021-06-07","15-24yr",877
"16","BE","2021-24","2021-06-14","15-24yr",575
"17","BE","2021-25","2021-06-21","15-24yr",518
"18","BE","2021-26","2021-06-28","15-24yr",1445
"19","BE","2021-27","2021-07-05","15-24yr",3287
"20","BE","2021-28","2021-07-12","15-24yr",3880
"21","BE","2021-29","2021-07-19","15-24yr",3443
"22","BE","2021-30","2021-07-26","15-24yr",3355
"23","BE","2021-20","2021-05-17","25-49yr",6808
"24","BE","2021-21","2021-05-24","25-49yr",4901
"25","BE","2021-22","2021-05-31","25-49yr",3678
"26","BE","2021-23","2021-06-07","25-49yr",2209
"27","BE","2021-24","2021-06-14","25-49yr",1306
"28","BE","2021-25","2021-06-21","25-49yr",1086
"29","BE","2021-26","2021-06-28","25-49yr",1528
"30","BE","2021-27","2021-07-05","25-49yr",2560
"31","BE","2021-28","2021-07-12","25-49yr",3223
"32","BE","2021-29","2021-07-19","25-49yr",3896
"33","BE","2021-30","2021-07-26","25-49yr",4431
"34","BE","2021-20","2021-05-17","50-64yr",2705
"35","BE","2021-21","2021-05-24","50-64yr",1869
"36","BE","2021-22","2021-05-31","50-64yr",1407
"37","BE","2021-23","2021-06-07","50-64yr",781
"38","BE","2021-24","2021-06-14","50-64yr",414
"39","BE","2021-25","2021-06-21","50-64yr",319
"40","BE","2021-26","2021-06-28","50-64yr",340
"41","BE","2021-27","2021-07-05","50-64yr",597
"42","BE","2021-28","2021-07-12","50-64yr",892
"43","BE","2021-29","2021-07-19","50-64yr",996
"44","BE","2021-30","2021-07-26","50-64yr",1033
"45","BE","2021-20","2021-05-17","65-79yr",800
"46","BE","2021-21","2021-05-24","65-79yr",544
"47","BE","2021-22","2021-05-31","65-79yr",386
"48","BE","2021-23","2021-06-07","65-79yr",243
"49","BE","2021-24","2021-06-14","65-79yr",149
"50","BE","2021-25","2021-06-21","65-79yr",98
"51","BE","2021-26","2021-06-28","65-79yr",99
"52","BE","2021-27","2021-07-05","65-79yr",153
"53","BE","2021-28","2021-07-12","65-79yr",213
"54","BE","2021-29","2021-07-19","65-79yr",237
"55","BE","2021-30","2021-07-26","65-79yr",276
"56","BE","2021-20","2021-05-17","80+yr",380
"57","BE","2021-21","2021-05-24","80+yr",265
"58","BE","2021-22","2021-05-31","80+yr",216
"59","BE","2021-23","2021-06-07","80+yr",131
"60","BE","2021-24","2021-06-14","80+yr",93
"61","BE","2021-25","2021-06-21","80+yr",60
"62","BE","2021-26","2021-06-28","80+yr",58
"63","BE","2021-27","2021-07-05","80+yr",71
"64","BE","2021-28","2021-07-12","80+yr",95
"65","BE","2021-29","2021-07-19","80+yr",162
"66","BE","2021-30","2021-07-26","80+yr",140
